Ticker,Company,Industry_x,Sector,DividendYield,PayoutRatio,IndustryMapped,Industry_y,NetMargin
MMM,3M Company,Conglomerates,Industrials,2.16,0.48669997,Diversified,Diversified,0.0892122836067698
AOS,A.O. Smith Corporation,Specialty Industrial Machinery,Industrials,2.18,0.3584,Machinery,Machinery,0.0730366433266519
ABT,Abbott Laboratories,Medical Devices,Healthcare,2.45,0.6344,Healthcare Products,Healthcare Products,0.0875149392042817
ABBV,AbbVie Inc.,Drug Manufacturers - General,Healthcare,3.31,2.7679,Drugs (Pharmaceutical),Drugs (Pharmaceutical),0.1448971925945506
ACN,Accenture plc,Information Technology Services,Technology,3.24,0.5098,Information Services,Information Services,0.063456130768009
ADBE,Adobe Inc.,Software - Application,Technology,0.0,0.0,Software (System & Application),Software (System & Application),0.2082623086514781
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,0.0,0.0,Semiconductor,Semiconductor,0.2332283405775086
AES,The AES Corporation,Utilities - Diversified,Utilities,4.92,0.5373,Utility (General),Utility (General),0.0778810584390676
AFL,AFLAC Incorporated,Insurance - Life,Financial Services,2.21,0.3402,Insurance (Life),Insurance (Life),0.1021756279794782
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,0.88,0.22049999,Healthcare Support Services,Healthcare Support Services,0.0133728749876677
APD,"Air Products and Chemicals, Inc",Specialty Chemicals,Basic Materials,2.47,1.0099,Chemical (Specialty),Chemical (Specialty),0.0638249227197686
ABNB,"Airbnb, Inc.",Travel Services,Consumer Cyclical,0.0,0.0,Recreation,Recreation,0.0245947534270305
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Technology,0.0,0.0,Computer Services,Computer Services,0.0531640739693299
ALB,Albemarle Corporation,Specialty Chemicals,Basic Materials,0.91,0.5797,Chemical (Specialty),Chemical (Specialty),0.0638249227197686
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare,0.0,0.0,Healthcare Products,Healthcare Products,0.0875149392042817
ALLE,Allegion plc,Security & Protection Services,Industrials,1.47,0.2742,Business & Consumer Services,Business & Consumer Services,0.0583382792580931
